Coach,Team,Total_Timeouts,Execution_Rate,Success_Rate_on_Execution,Avg_Points,Main_Target,Target_Share_Pct
Ettore Messina,MIL,92,0.967,0.457,1.043,"MIROTIC, NIKOLA",0.213
Georgios Bartzokas,OLY,119,0.941,0.454,1.034,"FOURNIER, EVAN",0.17
Ergin Ataman,PAN,83,0.964,0.446,1.084,"NUNN, KENDRICK",0.375
Ioannis Sfairopoulos,RED,153,0.974,0.418,0.948,"MILLER-MCINTYRE, CODI",0.134
Andrea Trinchieri,ZAL,152,1.0,0.408,0.895,"FRANCISCO, SYLVAIN",0.289
Zeljko Obradovic,PAR,136,0.985,0.404,0.926,"JONES, CARLIK",0.172
Tomislav Mijatovic,IST,134,1.0,0.403,0.888,"LARKIN, SHANE",0.149
Joan Penarroya,BAR,132,0.985,0.394,0.841,"PARKER, JABARI",0.2
Oded Kattash,TEL,117,0.983,0.393,0.863,"RANDOLPH, LEVI",0.252
Sasa Obradovic,MCO,150,0.98,0.387,0.853,"JAMES, MIKE",0.313
Gordon Herbert,MUN,138,1.0,0.384,0.928,"EDWARDS, CARSEN",0.239
Pablo Laso,BAS,123,0.976,0.374,0.829,"HOWARD, MARKUS",0.183
Pierric Poupet,ASV,86,0.977,0.372,0.849,"LEE, PARIS",0.167
Chus Mateo,MAD,138,0.964,0.37,0.804,"CAMPAZZO, FACUNDO",0.15
Israel Gonzalez,BER,90,0.967,0.356,0.822,"SPAGNOLO, MATTEO",0.115
Saras Jasikevicius,ULK,148,0.98,0.345,0.811,"HAYES-DAVIS, NIGEL",0.221
Tiago Splitter,PRS,114,0.947,0.342,0.781,"SHORTS, TJ",0.278
Luca Banchi,VIR,131,0.977,0.29,0.641,"SHENGELIA, TORNIKE",0.203
