Coach,Team,Total_Timeouts,Execution_Rate,Success_Rate_on_Execution,Avg_Points,Main_Target,Target_Share_Pct
Dimitrios Itoudis,HTA,75,0.987,0.547,1.227,"BLAKENEY, ANTONIO",0.189
Jurica Golemac,DUB,84,0.988,0.417,0.905,"WRIGHT IV, MCKINLEY",0.241
Ettore Messina,MIL,58,0.983,0.414,0.966,"BROOKS, ARMONI",0.281
Andrea Trinchieri,ZAL,70,0.943,0.4,0.971,"FRANCISCO, SYLVAIN",0.273
Saras Jasikevicius,ULK,68,0.971,0.397,0.912,"BALDWIN IV, WADE",0.182
Zeljko Obradovic,PAR,87,0.989,0.391,0.839,"BROWN, STERLING",0.151
Joan Penarroya,BAR,59,0.949,0.39,0.898,"PUNTER, KEVIN",0.214
Tomislav Mijatovic,IST,86,1.0,0.384,0.872,"LARKIN, SHANE",0.186
Tiago Splitter,PRS,58,0.966,0.379,0.966,"HIFI, NADIR",0.25
Ioannis Sfairopoulos,RED,78,1.0,0.372,0.808,"MILLER-MCINTYRE, CODI",0.244
Pierric Poupet,ASV,66,0.939,0.364,0.803,"WATSON, GLYNN",0.177
Gordon Herbert,MUN,78,0.974,0.359,0.821,"DINWIDDIE, SPENCER",0.158
Sasa Obradovic,MCO,69,0.986,0.348,0.739,"JAMES, MIKE",0.5
Oded Kattash,TEL,70,1.0,0.343,0.8,"WALKER IV, LONNIE",0.229
Chus Mateo,MAD,73,0.959,0.342,0.781,"HEZONJA, MARIO",0.214
Pablo Laso,BAS,74,0.946,0.311,0.689,"LUWAWU-CABARROT, TIMOTHE",0.171
Ergin Ataman,PAN,43,0.977,0.302,0.674,"NUNN, KENDRICK",0.214
Georgios Bartzokas,OLY,63,0.952,0.302,0.651,"VEZENKOV, SASHA",0.233
Luca Banchi,VIR,77,0.974,0.299,0.649,"EDWARDS, CARSEN",0.253
Pedro Martinez,PAM,50,0.94,0.26,0.58,"BADIO, BRANCOU",0.17
