Season,Phase,Round,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2023,RS,1,1,4,ASV,P004194,"LAUVERGNE, JOFFREY",3FGA,Missed Three Pointer,0,589,589,I,0,0,0,1,09:44,0,0,20231005170038
2023,RS,1,1,6,ASV,P004194,"LAUVERGNE, JOFFREY",2FGM,Two Pointer,2,163,263,E,0,1,0,1,09:36,0,2,20231005170046
2023,RS,1,1,7,RED,PLUO,"LAZIC, BRANKO",3FGM,Three Pointer,3,664,156,I,0,0,0,1,09:14,3,2,20231005170110
2023,RS,1,1,10,ASV,P004194,"LAUVERGNE, JOFFREY",2FGM,Two Pointer,2,69,138,C,0,0,0,2,08:42,3,4,20231005170145
2023,RS,1,1,11,RED,P012711,"SIMONOVIC, MARKO",3FGM,Three Pointer,3,464,646,I,0,0,0,2,08:42,6,4,20231005170159
2023,RS,1,1,14,ASV,P012080,"LUWAWU-CABARROT, TIMOTHE",3FGA,Missed Three Pointer,0,-326,696,H,0,0,0,2,08:16,6,4,20231005170226
2023,RS,1,1,18,RED,P011224,"NAPIER, SHABAZZ",3FGM,Three Pointer,3,200,777,I,0,0,1,3,07:58,9,4,20231005170256
2023,RS,1,1,19,ASV,P012080,"LUWAWU-CABARROT, TIMOTHE",2FGM,Two Pointer,2,-395,106,D,0,0,0,3,07:38,9,6,20231005170317
2023,RS,1,1,21,RED,P012711,"SIMONOVIC, MARKO",3FGM,Three Pointer,3,-539,514,H,0,0,0,3,07:12,12,6,20231005170342
2023,RS,1,1,26,RED,P006436,"GIEDRAITIS, ROKAS",2FGM,Two Pointer,2,100,840,I,1,0,1,4,06:45,14,6,20231005170410
2023,RS,1,1,29,ASV,P012730,"EGBUNU, JOHN",FTM,Free Throw In,1,-1,-1, ,0,0,0,4,06:17,14,7,20231005170516
2023,RS,1,1,33,RED,P011224,"NAPIER, SHABAZZ",3FGM,Three Pointer,3,288,715,I,0,0,0,4,06:05,17,7,20231005170551
2023,RS,1,1,251,ASV,P012730,"EGBUNU, JOHN",2FGA,Missed Two Pointer,0,81,257,E,0,0,0,5,05:46,17,7,20231005175517
2023,RS,1,1,40,RED,P011224,"NAPIER, SHABAZZ",2FGA,Missed Two Pointer,0,232,225,E,0,0,0,5,05:28,17,7,20231005170811
2023,RS,1,1,42,ASV,P011225,"LEE, PARIS",3FGM,Three Pointer,3,489,646,I,0,0,0,5,05:17,17,10,20231005170819
2023,RS,1,1,44,RED,P012711,"SIMONOVIC, MARKO",2FGM,Two Pointer,2,0,552,F,0,0,0,5,06:00,19,10,20231005170838
2023,RS,1,1,47,ASV,P004194,"LAUVERGNE, JOFFREY",2FGM,Two Pointer,2,37,219,C,0,0,0,6,04:45,19,12,20231005170854
2023,RS,1,1,49,RED,P006436,"GIEDRAITIS, ROKAS",3FGM,Three Pointer,3,483,646,I,0,0,0,6,04:26,22,12,20231005170913
2023,RS,1,1,51,ASV,P004194,"LAUVERGNE, JOFFREY",2FGM,Two Pointer,2,-313,414,F,0,0,0,6,04:03,22,14,20231005170935
2023,RS,1,1,54,RED,P011224,"NAPIER, SHABAZZ",2FGM,Two Pointer,2,18,138,C,0,0,0,7,03:39,24,14,20231005170959
2023,RS,1,1,70,ASV,P012732,"JACKSON, FRANK",3FGA,Missed Three Pointer,0,-677,75,H,0,0,0,7,03:14,24,14,20231005171105
2023,RS,1,1,72,RED,PJDR,"TEODOSIC, MILOS",3FGA,Missed Three Pointer,0,263,784,I,0,0,0,7,03:05,24,14,20231005171114
2023,RS,1,1,75,ASV,P012729,"SCOTT, MIKE",3FGA,Missed Three Pointer,0,-677,169,H,0,0,0,8,02:46,24,14,20231005171132
2023,RS,1,1,77,RED,P012711,"SIMONOVIC, MARKO",2FGM,Two Pointer,2,-119,94,B,0,0,0,8,02:37,26,14,20231005171142
2023,RS,1,1,78,ASV,P011225,"LEE, PARIS",2FGM,Two Pointer,2,106,50,C,0,0,0,8,02:27,26,16,20231005171151
2023,RS,1,1,79,RED,P008966,"TOBEY, MIKE",3FGA,Missed Three Pointer,0,-269,746,H,0,0,0,8,02:08,26,16,20231005171211
2023,RS,1,1,84,RED,P005099,"HANGA, ADAM",2FGA,Missed Two Pointer,0,94,169,C,0,0,0,9,01:49,26,16,20231005171231
2023,RS,1,1,86,RED,P005099,"HANGA, ADAM",2FGA,Missed Two Pointer,0,-62,238,D,0,0,0,9,01:48,26,16,20231005171234
2023,RS,1,1,96,ASV,P012731,"NDIAYE, MBAYE",3FGA,Missed Three Pointer,0,-671,263,H,0,0,0,9,01:31,26,16,20231005171351
2023,RS,1,1,98,RED,P005099,"HANGA, ADAM",3FGM,Three Pointer,3,125,721,I,0,0,0,9,01:19,29,16,20231005171405
2023,RS,1,1,100,ASV,P012729,"SCOTT, MIKE",2FGM,Two Pointer,2,-100,514,F,0,0,0,10,00:53,29,18,20231005171430
2023,RS,1,1,101,RED,PJDR,"TEODOSIC, MILOS",2FGA,Missed Two Pointer,0,-276,269,D,0,0,0,10,00:36,29,18,20231005171448
2023,RS,1,1,103,RED,PJDR,"TEODOSIC, MILOS",2FGA,Missed Two Pointer,0,119,282,E,0,0,0,10,00:24,29,18,20231005171518
