round,gameday,date,time,gamenumber,gamecode,group,hometeam,homecode,homescore,awayteam,awaycode,awayscore,played
RS,33,"Apr 04, 2025",20:00,294,E2024_294,Regular Season,ALBA BERLIN,BER,92,OLYMPIACOS PIRAEUS,OLY,100,True
RS,16,"Dec 17, 2024",19:00,136,E2024_136,Regular Season,AS MONACO,MCO,93,FC BAYERN MUNICH,MUN,74,True
RS,22,"Jan 16, 2025",20:30,192,E2024_192,Regular Season,PARIS BASKETBALL,PRS,96,MACCABI PLAYTIKA TEL AVIV,TEL,83,True
RS,1,"Oct 03, 2024",18:45,1,E2024_1,Regular Season,ALBA BERLIN,BER,77,PANATHINAIKOS AKTOR ATHENS,PAN,87,True
RS,8,"Nov 08, 2024",20:30,71,E2024_71,Regular Season,FC BARCELONA,BAR,91,BASKONIA VITORIA-GASTEIZ,BAS,68,True
RS,7,"Nov 01, 2024",20:00,61,E2024_61,Regular Season,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,77,PANATHINAIKOS AKTOR ATHENS,PAN,81,True
RS,16,"Dec 17, 2024",20:45,144,E2024_144,Regular Season,PARTIZAN MOZZART BET BELGRADE,PAR,79,LDLC ASVEL VILLEURBANNE,ASV,82,True
RS,30,"Mar 21, 2025",20:45,270,E2024_270,Regular Season,PARTIZAN MOZZART BET BELGRADE,PAR,65,ANADOLU EFES ISTANBUL,IST,97,True
RS,2,"Oct 11, 2024",20:30,17,E2024_17,Regular Season,FC BARCELONA,BAR,88,ALBA BERLIN,BER,73,True
RS,11,"Nov 20, 2024",20:30,91,E2024_91,Regular Season,VIRTUS SEGAFREDO BOLOGNA,VIR,82,FENERBAHCE BEKO ISTANBUL,ULK,86,True
RS,17,"Dec 20, 2024",18:30,148,E2024_148,Regular Season,ANADOLU EFES ISTANBUL,IST,86,PARTIZAN MOZZART BET BELGRADE,PAR,77,True
RS,9,"Nov 12, 2024",20:45,79,E2024_79,Regular Season,REAL MADRID,MAD,98,VIRTUS SEGAFREDO BOLOGNA,VIR,86,True
RS,18,"Dec 27, 2024",20:30,161,E2024_161,Regular Season,FC BAYERN MUNICH,MUN,69,PANATHINAIKOS AKTOR ATHENS,PAN,80,True
RS,4,"Oct 17, 2024",20:45,30,E2024_30,Regular Season,FC BAYERN MUNICH,MUN,109,PARIS BASKETBALL,PRS,107,True
RS,3,"Oct 15, 2024",20:05,27,E2024_27,Regular Season,MACCABI PLAYTIKA TEL AVIV,TEL,93,ANADOLU EFES ISTANBUL,IST,91,True
RS,19,"Jan 03, 2025",21:00,171,E2024_171,Regular Season,REAL MADRID,MAD,88,FC BAYERN MUNICH,MUN,76,True
RS,21,"Jan 14, 2025",20:00,181,E2024_181,Regular Season,LDLC ASVEL VILLEURBANNE,ASV,62,PARTIZAN MOZZART BET BELGRADE,PAR,93,True
RS,1,"Oct 03, 2024",19:00,3,E2024_3,Regular Season,ZALGIRIS KAUNAS,ZAL,74,FC BARCELONA,BAR,67,True
RS,14,"Dec 05, 2024",20:30,120,E2024_120,Regular Season,PARTIZAN MOZZART BET BELGRADE,PAR,91,PANATHINAIKOS AKTOR ATHENS,PAN,73,True
RS,25,"Feb 05, 2025",20:30,224,E2024_224,Regular Season,PARIS BASKETBALL,PRS,73,OLYMPIACOS PIRAEUS,OLY,90,True
RS,10,"Nov 15, 2024",19:00,87,E2024_87,Regular Season,ZALGIRIS KAUNAS,ZAL,65,FENERBAHCE BEKO ISTANBUL,ULK,72,True
RS,7,"Oct 31, 2024",20:15,56,E2024_56,Regular Season,OLYMPIACOS PIRAEUS,OLY,95,FC BARCELONA,BAR,74,True
PO,38,"Apr 25, 2025",19:00,315,E2024_315,PLAYOFF B,AS MONACO,MCO,92,FC BARCELONA,BAR,79,True
RS,29,"Mar 13, 2025",18:45,253,E2024_253,Regular Season,FENERBAHCE BEKO ISTANBUL,ULK,92,LDLC ASVEL VILLEURBANNE,ASV,82,True
PO,38,"Apr 24, 2025",20:30,316,E2024_316,PLAYOFF C,PANATHINAIKOS AKTOR ATHENS,PAN,76,ANADOLU EFES ISTANBUL,IST,79,True
RS,9,"Nov 13, 2024",18:00,80,E2024_80,Regular Season,PARTIZAN MOZZART BET BELGRADE,PAR,79,FC BARCELONA,BAR,87,True
RS,8,"Nov 07, 2024",20:30,66,E2024_66,Regular Season,EA7 EMPORIO ARMANI MILAN,MIL,85,REAL MADRID,MAD,76,True
RS,26,"Feb 07, 2025",20:30,233,E2024_233,Regular Season,FC BARCELONA,BAR,88,OLYMPIACOS PIRAEUS,OLY,90,True
RS,16,"Dec 17, 2024",20:15,137,E2024_137,Regular Season,PANATHINAIKOS AKTOR ATHENS,PAN,103,EA7 EMPORIO ARMANI MILAN,MIL,74,True
RS,34,"Apr 10, 2025",20:45,302,E2024_302,Regular Season,PARIS BASKETBALL,PRS,72,ALBA BERLIN,BER,63,True
RS,22,"Jan 17, 2025",18:45,194,E2024_194,Regular Season,FENERBAHCE BEKO ISTANBUL,ULK,98,ZALGIRIS KAUNAS,ZAL,86,True
RS,26,"Feb 07, 2025",20:30,234,E2024_234,Regular Season,VIRTUS SEGAFREDO BOLOGNA,VIR,77,PARIS BASKETBALL,PRS,83,True
RS,30,"Mar 20, 2025",20:30,265,E2024_265,Regular Season,BASKONIA VITORIA-GASTEIZ,BAS,112,FC BAYERN MUNICH,MUN,89,True
RS,14,"Dec 06, 2024",20:45,126,E2024_126,Regular Season,EA7 EMPORIO ARMANI MILAN,MIL,92,LDLC ASVEL VILLEURBANNE,ASV,84,True
RS,34,"Apr 11, 2025",20:15,305,E2024_305,Regular Season,PANATHINAIKOS AKTOR ATHENS,PAN,111,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,104,True
RS,32,"Mar 28, 2025",18:45,285,E2024_285,Regular Season,FENERBAHCE BEKO ISTANBUL,ULK,82,BASKONIA VITORIA-GASTEIZ,BAS,77,True
RS,26,"Feb 06, 2025",19:00,228,E2024_228,Regular Season,ZALGIRIS KAUNAS,ZAL,87,EA7 EMPORIO ARMANI MILAN,MIL,89,True
RS,22,"Jan 17, 2025",20:45,198,E2024_198,Regular Season,FC BARCELONA,BAR,90,ANADOLU EFES ISTANBUL,IST,80,True
PO,39,"Apr 29, 2025",21:00,318,E2024_318,PLAYOFF A,REAL MADRID,MAD,80,OLYMPIACOS PIRAEUS,OLY,72,True
PO,40,"May 02, 2025",19:30,324,E2024_324,PLAYOFF C,ANADOLU EFES ISTANBUL,IST,85,PANATHINAIKOS AKTOR ATHENS,PAN,82,True
FF,43,"May 25, 2025",19:00,330,E2024_330,CHAMPIONSHIP GAME,AS MONACO,MCO,70,FENERBAHCE BEKO ISTANBUL,ULK,81,True
RS,16,"Dec 17, 2024",20:30,139,E2024_139,Regular Season,PARIS BASKETBALL,PRS,85,REAL MADRID,MAD,96,True
RS,27,"Feb 28, 2025",18:30,240,E2024_240,Regular Season,ANADOLU EFES ISTANBUL,IST,98,ALBA BERLIN,BER,73,True
RS,15,"Dec 13, 2024",20:30,134,E2024_134,Regular Season,FC BARCELONA,BAR,81,EA7 EMPORIO ARMANI MILAN,MIL,94,True
RS,12,"Nov 29, 2024",20:15,106,E2024_106,Regular Season,PANATHINAIKOS AKTOR ATHENS,PAN,88,AS MONACO,MCO,91,True
RS,19,"Jan 02, 2025",20:00,164,E2024_164,Regular Season,ALBA BERLIN,BER,90,AS MONACO,MCO,105,True
RS,8,"Nov 08, 2024",20:30,72,E2024_72,Regular Season,VIRTUS SEGAFREDO BOLOGNA,VIR,84,MACCABI PLAYTIKA TEL AVIV,TEL,77,True
RS,13,"Dec 04, 2024",19:00,115,E2024_115,Regular Season,AS MONACO,MCO,80,OLYMPIACOS PIRAEUS,OLY,89,True
RS,18,"Dec 27, 2024",20:30,159,E2024_159,Regular Season,PARTIZAN MOZZART BET BELGRADE,PAR,90,FENERBAHCE BEKO ISTANBUL,ULK,81,True
RS,25,"Feb 04, 2025",18:30,217,E2024_217,Regular Season,ANADOLU EFES ISTANBUL,IST,79,REAL MADRID,MAD,73,True
RS,2,"Oct 09, 2024",19:00,10,E2024_10,Regular Season,AS MONACO,MCO,85,MACCABI PLAYTIKA TEL AVIV,TEL,79,True
RS,31,"Mar 25, 2025",20:45,275,E2024_275,Regular Season,PARTIZAN MOZZART BET BELGRADE,PAR,85,ALBA BERLIN,BER,71,True
RS,6,"Oct 30, 2024",19:00,48,E2024_48,Regular Season,ZALGIRIS KAUNAS,ZAL,86,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,84,True
