season,round,gamecode,team,opponent,location,possessions,off_rtg,points,bench_points,starter_points,pace,fga,fg3a,fta
2025,5,E2025_47,BAS,PAR,Home,66.93119999999999,118.0316504111685,79,52,27,66.93119999999999,60,28,13
2025,5,E2025_47,PAR,BAS,Away,66.5088,136.82399923017707,91,33,58,66.5088,69,18,12
2025,8,E2025_73,TEL,RED,Home,76.1088,120.87958291288261,92,29,63,76.1088,71,28,37
2025,8,E2025_73,RED,TEL,Away,75.264,131.53698979591837,99,37,62,75.264,73,27,35
2025,20,E2025_195,HTA,DUB,Home,66.89280000000001,127.06898201301185,85,48,37,66.89280000000001,63,19,22
2025,20,E2025_195,DUB,HTA,Away,69.5808,86.23068432671081,60,21,39,69.5808,63,19,17
2025,25,E2025_245,PAM,TEL,Home,72.4224,129.79409685401203,94,42,52,72.4224,65,32,26
2025,25,E2025_245,TEL,PAM,Away,70.9632,116.96203102453102,83,39,44,70.9632,68,25,18
2025,10,E2025_96,DUB,RED,Home,68.58239999999999,148.72620380739085,102,27,75,68.58239999999999,66,27,26
2025,10,E2025_96,RED,DUB,Away,66.048,130.20833333333331,86,42,44,66.048,60,21,20
2025,23,E2025_228,PAM,PRS,Home,77.72160000000001,126.09107378129116,98,34,64,77.72160000000001,66,31,34
2025,23,E2025_228,PRS,PAM,Away,79.488,105.67632850241546,84,49,35,79.488,67,34,20
2025,15,E2025_148,BAR,OLY,Home,66.4704,147.43404583092627,98,13,85,66.4704,70,26,21
2025,15,E2025_148,OLY,BAR,Away,66.89280000000001,127.06898201301185,85,21,64,66.89280000000001,57,21,22
2025,19,E2025_188,PAN,OLY,Home,69.0432,118.76622172784576,82,26,56,69.0432,65,28,18
2025,19,E2025_188,OLY,PAN,Away,68.46719999999999,127.06814357823895,87,21,66,68.46719999999999,61,31,28
2025,21,E2025_209,OLY,MUN,Home,74.4576,127.58939315798521,95,34,61,74.4576,66,33,24
2025,21,E2025_209,MUN,OLY,Away,74.304,107.66580534022394,80,27,53,74.304,56,26,10
2025,1,E2025_7,VIR,MAD,Home,65.74080000000001,112.56327881619936,74,45,29,65.74080000000001,57,22,17
2025,1,E2025_7,MAD,VIR,Away,65.1264,104.41234276729558,68,36,32,65.1264,66,23,11
2025,8,E2025_72,MUN,VIR,Home,71.34719999999999,120.53731611051313,86,31,55,71.34719999999999,57,30,28
2025,8,E2025_72,VIR,MUN,Away,72.9984,95.89251271260738,70,24,46,72.9984,59,26,16
2025,23,E2025_225,PAN,BAS,Home,63.3984,146.69139915202908,93,55,38,63.3984,61,23,16
2025,23,E2025_225,BAS,PAN,Away,62.553599999999996,118.2985471659505,74,32,42,62.553599999999996,57,22,14
2025,4,E2025_32,MUN,MIL,Home,63.8208,100.28078620136382,64,30,34,63.8208,58,25,17
2025,4,E2025_32,MIL,MUN,Away,63.5136,83.44669488109633,53,16,37,63.5136,59,19,14
2025,1,E2025_5,HTA,BAR,Home,71.61599999999999,143.82260947274355,103,44,59,71.61599999999999,65,24,15
2025,1,E2025_5,BAR,HTA,Away,68.6208,126.78371572467823,87,37,50,68.6208,63,25,17
2025,17,E2025_169,OLY,ASV,Home,71.5776,149.48810801144492,107,53,54,71.5776,66,28,24
2025,17,E2025_169,ASV,OLY,Away,70.04159999999999,119.92872807017545,84,43,41,70.04159999999999,63,24,9
2025,2,E2025_12,PAR,MIL,Home,66.2784,120.70297412128235,80,23,57,66.2784,61,21,16
2025,2,E2025_12,MIL,PAR,Away,68.5056,113.85930493273541,78,30,48,68.5056,51,26,19
2025,12,E2025_111,ASV,MCO,Home,68.81280000000001,75.5673363095238,52,31,21,68.81280000000001,61,25,22
2025,12,E2025_111,MCO,ASV,Away,70.38719999999999,119.33987997817785,84,44,40,70.38719999999999,63,25,28
2025,24,E2025_233,TEL,PAN,Home,63.6288,117.87115268557635,75,30,45,63.6288,66,33,12
2025,24,E2025_233,PAN,TEL,Away,62.97599999999999,112.74136178861791,71,13,58,62.97599999999999,67,30,15
2025,3,E2025_30,ULK,RED,Home,76.1856,106.31930443548387,81,18,63,76.1856,55,27,44
2025,3,E2025_30,RED,ULK,Away,77.2992,111.25600264944528,86,26,60,77.2992,62,20,33
2025,16,E2025_154,HTA,RED,Home,68.5056,122.6177130044843,84,29,55,68.5056,62,34,19
2025,16,E2025_154,RED,HTA,Away,70.00319999999999,111.42347778387276,78,46,32,70.00319999999999,64,24,18
2025,27,E2025_264,PRS,ULK,Home,74.5728,120.68743563336766,90,53,37,74.5728,69,32,22
2025,27,E2025_264,ULK,PRS,Away,75.03359999999999,122.611736608666,92,45,47,75.03359999999999,59,23,39
2025,2,E2025_15,TEL,PRS,Home,82.0992,114.49563454942316,94,35,59,82.0992,71,31,33
2025,2,E2025_15,PRS,TEL,Away,81.2544,124.30096093257718,101,56,45,81.2544,70,35,31
2025,18,E2025_177,DUB,MIL,Home,73.5744,134.55767223382048,99,19,80,73.5744,66,23,31
