Coach,Team,True_Total_Timeouts,Execution_Rate,Success_Rate_on_Execution,Avg_Points_Per_ATO,Turnover_Rate
Ettore Messina,MIL,92,0.967391304347826,0.45652173913043476,0.9239130434782609,0.13043478260869565
Georgios Bartzokas,OLY,119,0.9411764705882353,0.453781512605042,0.9327731092436975,0.09243697478991597
Ergin Ataman,PAN,83,0.963855421686747,0.4457831325301205,1.0,0.0963855421686747
Ioannis Sfairopoulos,RED,153,0.9738562091503268,0.41830065359477125,0.9084967320261438,0.16993464052287582
Andrea Trinchieri,ZAL,152,1.0,0.40789473684210525,0.7960526315789473,0.16447368421052633
Tiago Splitter,PAR,136,0.9852941176470589,0.40441176470588236,0.8455882352941176,0.14705882352941177
Tomislav Mijatovic,IST,134,1.0,0.40298507462686567,0.8059701492537313,0.20149253731343283
Joan Penarroya,BAR,132,0.9848484848484849,0.3939393939393939,0.7196969696969697,0.16666666666666666
Oded Kattash,TEL,117,0.9829059829059829,0.39316239316239315,0.7948717948717948,0.18803418803418803
Sasa Obradovic,MCO,150,0.98,0.38666666666666666,0.7266666666666667,0.13333333333333333
Gordon Herbert,MUN,138,1.0,0.38405797101449274,0.8623188405797102,0.21014492753623187
Pablo Laso,BAS,123,0.975609756097561,0.37398373983739835,0.7235772357723578,0.16260162601626016
Pierric Poupet,ASV,86,0.9767441860465116,0.37209302325581395,0.8023255813953488,0.12790697674418605
Chus Mateo,MAD,138,0.9637681159420289,0.3695652173913043,0.7246376811594203,0.15217391304347827
Israel Gonzalez,BER,90,0.9666666666666667,0.35555555555555557,0.7888888888888889,0.18888888888888888
Saras Jasikevicius,ULK,148,0.9797297297297297,0.34459459459459457,0.7702702702702703,0.12162162162162163
Zeljko Obradovic,PRS,114,0.9473684210526315,0.34210526315789475,0.7280701754385965,0.11403508771929824
Luca Banchi,VIR,131,0.9770992366412213,0.2900763358778626,0.549618320610687,0.183206106870229
