Coach,Team,True_Total_Timeouts,Execution_Rate,Success_Rate_on_Execution,Avg_Points_Per_ATO,Turnover_Rate
Ettore Messina,MIL,92,0.967,0.457,0.924,0.13
Georgios Bartzokas,OLY,119,0.941,0.454,0.933,0.092
Ergin Ataman,PAN,83,0.964,0.446,1.0,0.096
Ioannis Sfairopoulos,RED,153,0.974,0.418,0.908,0.17
Andrea Trinchieri,ZAL,152,1.0,0.408,0.796,0.164
Tiago Splitter,PAR,136,0.985,0.404,0.846,0.147
Tomislav Mijatovic,IST,134,1.0,0.403,0.806,0.201
Joan Penarroya,BAR,132,0.985,0.394,0.72,0.167
Oded Kattash,TEL,117,0.983,0.393,0.795,0.188
Sasa Obradovic,MCO,150,0.98,0.387,0.727,0.133
Gordon Herbert,MUN,138,1.0,0.384,0.862,0.21
Pablo Laso,BAS,123,0.976,0.374,0.724,0.163
Pierric Poupet,ASV,86,0.977,0.372,0.802,0.128
Chus Mateo,MAD,138,0.964,0.37,0.725,0.152
Israel Gonzalez,BER,90,0.967,0.356,0.789,0.189
Saras Jasikevicius,ULK,148,0.98,0.345,0.77,0.122
Zeljko Obradovic,PRS,114,0.947,0.342,0.728,0.114
Luca Banchi,VIR,131,0.977,0.29,0.55,0.183
