Coach,Team,True_Total_Timeouts,Execution_Rate,Success_Rate_on_Execution,Avg_Points_Per_ATO,Turnover_Rate,Main_Target
Ettore Messina,MIL,92,0.967,0.457,0.924,0.13,"MIROTIC, NIKOLA"
Georgios Bartzokas,OLY,119,0.941,0.454,0.933,0.092,"FOURNIER, EVAN"
Ergin Ataman,PAN,83,0.964,0.446,1.0,0.096,"NUNN, KENDRICK"
Ioannis Sfairopoulos,RED,153,0.974,0.418,0.908,0.17,"MILLER-MCINTYRE, CODI"
Andrea Trinchieri,ZAL,152,1.0,0.408,0.796,0.164,"FRANCISCO, SYLVAIN"
Tiago Splitter,PAR,136,0.985,0.404,0.846,0.147,"JONES, CARLIK"
Tomislav Mijatovic,IST,134,1.0,0.403,0.806,0.201,"LARKIN, SHANE"
Joan Penarroya,BAR,132,0.985,0.394,0.72,0.167,"PARKER, JABARI"
Oded Kattash,TEL,117,0.983,0.393,0.795,0.188,"RANDOLPH, LEVI"
Sasa Obradovic,MCO,150,0.98,0.387,0.727,0.133,"JAMES, MIKE"
Gordon Herbert,MUN,138,1.0,0.384,0.862,0.21,"EDWARDS, CARSEN"
Pablo Laso,BAS,123,0.976,0.374,0.724,0.163,"HOWARD, MARKUS"
Pierric Poupet,ASV,86,0.977,0.372,0.802,0.128,"LEE, PARIS"
Chus Mateo,MAD,138,0.964,0.37,0.725,0.152,"CAMPAZZO, FACUNDO"
Israel Gonzalez,BER,90,0.967,0.356,0.789,0.189,"SPAGNOLO, MATTEO"
Saras Jasikevicius,ULK,148,0.98,0.345,0.77,0.122,"HAYES-DAVIS, NIGEL"
Zeljko Obradovic,PRS,114,0.947,0.342,0.728,0.114,"SHORTS, TJ"
Luca Banchi,VIR,131,0.977,0.29,0.55,0.183,"SHENGELIA, TORNIKE"
