playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
1,70.0,4.0,6.75547619047619,1.0,0.1,0.4,14.3%,0.2,0.8,28.1%,0.2,0.3,63.6%,0.2,0.2,0.4,0.7,0.1,0.4,0.0,0.0,1.2,0.3,-0.1,007265,"KURUCS, ARTURS",22,https://media-cdn.incrowdsports.com/b98c88da-6556-46e0-981a-106d466b7a22.png,BAS,TDS,Baskonia Vitoria-Gasteiz,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png
2,78.0,30.0,12.735683760683761,1.7,0.4,0.8,43.9%,0.2,0.6,35.6%,0.3,0.6,54.3%,0.1,0.9,1.1,0.4,0.3,0.6,0.0,0.1,2.1,0.7,0.3,AWH,"ABI, MUSTAFA",29,,ULK;IST,ULK;EFS,Fenerbahce Beko Istanbul;Anadolu Efes Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png;https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
3,122.0,25.0,11.394262295081967,2.7,0.2,0.6,36.8%,0.7,1.9,35.1%,0.3,0.4,72.2%,0.3,0.7,1.0,0.8,0.5,0.8,0.1,0.1,2.7,0.7,0.6,JJY,"BOZIC, PETAR",33,,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
4,45.0,3.0,9.455185185185185,3.2,0.7,1.4,46.2%,0.5,1.4,36.9%,0.3,0.5,54.5%,0.5,0.7,1.2,0.4,0.2,0.7,0.0,0.1,2.3,0.7,0.8,AQX,"SCHULTZE, SVEN",34,,MIL;BER,MIL;BER,EA7 Emporio Armani Milan;ALBA Berlin,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png;https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
5,55.0,1.0,5.666969696969697,1.3,0.5,0.9,52.1%,0.0,0.2,20%,0.3,0.5,55.6%,0.5,0.6,1.0,0.2,0.2,0.3,0.1,0.1,1.2,0.5,0.8,THY,"MILOSEVIC, STRAHINJA",24,,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
6,105.0,20.0,13.341111111111111,3.2,0.4,0.9,47.9%,0.7,2.0,34.8%,0.3,0.5,60%,0.5,0.9,1.4,0.3,0.4,0.3,0.0,0.2,2.4,0.6,1.1,004170,"BATUK, BIRKAN",28,https://media-cdn.incrowdsports.com/a0a94e47-8163-45c3-8ec7-3a147df45609.png,DAR;IST,DDI;EFS,Darussafaka Basketbol;Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/9ceb124a-7ee1-4db5-8d8c-7d485980b989.png;https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
7,90.0,12.0,9.120555555555557,2.5,0.6,1.5,41.3%,0.3,0.9,30%,0.4,0.6,78.4%,0.1,0.6,0.6,0.8,0.3,0.6,0.0,0.1,1.2,0.6,1.4,005670,"FLACCADORI, DIEGO",29,https://media-cdn.cortextech.io/1d2df160-ebfd-4d2e-b65f-eafbcf8ccf97.png,MUN;MIL,BAY;EA7,FC Bayern Munich;EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png;https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
8,156.0,27.0,13.277029914529916,2.8,0.2,0.6,40.6%,0.7,2.0,33.4%,0.2,0.3,87.8%,0.3,0.7,0.9,0.7,0.4,0.4,0.0,0.1,1.7,0.9,1.7,007025,"MATTISSECK, JONAS",24,https://media-cdn.incrowdsports.com/f233c467-32fb-41af-807b-07660af5fa2c.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
9,107.0,20.0,6.8398753894081,1.9,0.5,0.8,61.6%,0.2,0.7,28.9%,0.3,0.4,71.1%,0.3,0.6,0.9,0.3,0.4,0.3,0.0,0.1,1.0,0.5,1.7,011209,"KALAITZAKIS, PANAGIOTIS",26,https://media-cdn.cortextech.io/370cc8f6-6da8-4a99-bf1c-d0390cf2f6fd.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
10,111.0,11.0,10.425675675675675,2.9,0.5,1.1,47.5%,0.5,1.3,40.7%,0.3,0.3,77.8%,0.2,0.6,0.8,0.4,0.3,0.3,0.0,0.0,1.2,0.4,1.8,LMK,"CARRARETTO, MARCO",35,,SIE,MPS,Montepaschi Siena,https://media-cdn.incrowdsports.com/1d94a55f-b8c7-459c-951e-8177f5f3eebe.png
11,222.0,42.0,9.06981981981982,1.6,0.5,1.1,47.7%,0.1,0.5,30%,0.1,0.2,54.5%,0.4,0.7,1.1,0.9,0.5,0.4,0.1,0.1,1.4,0.5,1.8,003521,"BALBAY, DOGUS",33,https://media-cdn.incrowdsports.com/0a0748cc-b881-47d6-a8ff-19a51b692cb0.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
12,44.0,14.0,12.674621212121211,2.4,0.3,0.6,51.9%,0.4,1.2,31.5%,0.6,0.9,71.1%,0.3,0.5,0.8,1.1,0.7,0.5,0.1,0.1,2.1,0.9,1.9,AGT,"BOUNTOURIS, NIKOLAOS",31,,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
13,55.0,25.0,14.185454545454546,4.3,0.7,1.6,45.6%,0.9,2.5,34.6%,0.3,0.4,71.4%,0.5,1.7,2.2,0.3,0.8,1.1,0.2,0.2,2.6,0.7,2.0,JKN,"GABINI, ROBERTO",33,,BAS;ROM,BKN;ROM,Baskonia Vitoria-Gasteiz;Pallacanestro Virtus Roma,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png;https://media-cdn.incrowdsports.com/e5836b62-9939-4063-b5e5-cc2f5804c142.png
14,104.0,37.0,13.617467948717948,3.7,1.0,2.0,47.9%,0.4,1.4,27.8%,0.5,0.7,74%,0.3,0.9,1.2,0.8,0.5,0.8,0.1,0.1,2.2,1.2,2.2,001389,"VORONOV, EVGENY",34,https://media-cdn.incrowdsports.com/5ea13ad3-ab46-462b-87e3-5155aec20269.png,CSK;TIV;UNK;DYR;KHI,CSK;LOK;UNK;ZEN;KHI,CSKA Moscow;Lokomotiv Kuban;UNICS Kazan;Zenit St Petersburg;BC Khimki,https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png;https://media-cdn.incrowdsports.com/10d99d78-4206-411d-83d2-db7abc63c6ae.png;https://media-cdn.incrowdsports.com/70b00b96-e98a-42ba-9997-39d70a895157.png;https://media-cdn.incrowdsports.com/4c571fd6-52f1-428c-94a5-9143fbbb4fe3.png;https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png
15,255.0,142.0,17.55385620915033,3.4,0.6,1.3,45.9%,0.6,1.6,34.9%,0.5,0.6,80.6%,0.5,0.9,1.5,0.6,0.7,0.5,0.1,0.1,2.6,1.1,2.2,LUO,"LAZIC, BRANKO",35,https://media-cdn.incrowdsports.com/6dcc04d5-821e-4113-a665-029a43d76425.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
16,90.0,20.0,13.253518518518518,2.6,0.5,1.2,43.6%,0.3,1.3,26.5%,0.5,0.7,74.2%,0.2,0.6,0.7,1.9,0.3,1.0,0.0,0.0,1.8,1.4,2.3,LKY,"KHVOSTOV, DMITRY",31,https://media-cdn.incrowdsports.com/409460e8-d94e-4f85-887d-9e72dbeb03bc.png,DYN;KHI;NOV;DYR,DYN;KHI;NIZ;ZEN,Dynamo Moscow;BC Khimki;BC Nizhny Novgorod;Zenit St Petersburg,https://media-cdn.incrowdsports.com/22ab0314-9deb-407c-97aa-4032f4017564.png;https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png;https://media-cdn.incrowdsports.com/dddcfb2d-29ff-4588-a297-654b4cd72c68.png;https://media-cdn.incrowdsports.com/4c571fd6-52f1-428c-94a5-9143fbbb4fe3.png
17,83.0,12.0,11.169879518072289,3.3,0.8,1.8,47%,0.3,1.6,20.9%,0.6,0.9,67.6%,0.8,1.6,2.4,0.3,0.3,0.4,0.3,0.2,2.1,0.9,2.3,004429,"AGRAVANIS, DIMITRIS",28,https://media-cdn.incrowdsports.com/3d98a249-0b03-46bf-a720-f3a83467c405.png,OLY;PAN,OLY;PAO,Olympiacos Piraeus;Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png;https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
18,241.0,46.0,11.141078838174273,4.2,0.5,1.1,48.7%,1.0,2.4,39.8%,0.3,0.3,89.2%,0.1,0.6,0.7,0.4,0.2,0.3,0.0,0.1,1.1,0.4,2.3,002969,"MAHMUTOGLU, MELIH",35,https://media-cdn.cortextech.io/f3c95ee0-c4ac-4f3a-ae7a-fb6dfd3723b9.png,ULK,FNB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
19,178.0,58.0,11.612734082397003,3.1,0.6,1.4,47.5%,0.5,1.3,37.7%,0.3,0.4,69.3%,0.6,1.0,1.6,0.5,0.3,0.4,0.3,0.1,1.7,0.5,2.4,004941,"ANTONOV, SEMEN",32,https://media-cdn.incrowdsports.com/5fd80688-4e9c-434c-b051-1471ccdcb625.png,NOV;CSK,NIZ;CSK,BC Nizhny Novgorod;CSKA Moscow,https://media-cdn.incrowdsports.com/dddcfb2d-29ff-4588-a297-654b4cd72c68.png;https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png
20,65.0,24.0,14.634615384615385,2.5,0.3,0.7,39.1%,0.5,1.4,36.4%,0.5,0.6,77.5%,0.7,1.4,2.1,0.5,0.8,0.6,0.4,0.0,2.8,1.0,2.4,CCI,"TONOLLI, ALESSANDRO",36,,ROM,ROM,Pallacanestro Virtus Roma,https://media-cdn.incrowdsports.com/e5836b62-9939-4063-b5e5-cc2f5804c142.png
