Player,Times_Targeted,Success_Rate,Avg_Points,Target_Share_Pct,Coach
"NUNN, KENDRICK",30,0.433,1.067,0.375,Ergin Ataman
"SLOUKAS, KOSTAS",11,0.727,1.818,0.138,Ergin Ataman
"BROWN, LORENZO",10,0.4,0.9,0.125,Ergin Ataman
"GRANT, JERIAN",9,0.222,0.556,0.112,Ergin Ataman
"HERNANGOMEZ, JUANCHO",6,0.333,1.0,0.075,Ergin Ataman
"FOURNIER, EVAN",19,0.684,1.632,0.17,Georgios Bartzokas
"VEZENKOV, SASHA",15,0.533,1.2,0.134,Georgios Bartzokas
"WALKUP, THOMAS",12,0.333,0.833,0.107,Georgios Bartzokas
"WILLIAMS-GOSS, NIGEL",12,0.25,0.5,0.107,Georgios Bartzokas
"PETERS, ALEC",10,0.7,1.8,0.089,Georgios Bartzokas
