Player,Times_Targeted,Success_Rate,Avg_Points,Target_Share_Pct,Coach
"NUNN, KENDRICK",9,0.556,1.111,0.214,Ergin Ataman
"OSMAN, CEDI",8,0.375,1.0,0.19,Ergin Ataman
"SHORTS, TJ",7,0.286,0.571,0.167,Ergin Ataman
"MITOGLOU, KONSTANTINOS",5,0.2,0.4,0.119,Ergin Ataman
"SLOUKAS, KOSTAS",3,0.333,0.667,0.071,Ergin Ataman
"VEZENKOV, SASHA",14,0.357,0.786,0.233,Georgios Bartzokas
"DORSEY, TYLER",7,0.286,0.571,0.117,Georgios Bartzokas
"PETERS, ALEC",7,0.714,1.429,0.117,Georgios Bartzokas
"FOURNIER, EVAN",5,0.0,0.0,0.083,Georgios Bartzokas
"MILUTINOV, NIKOLA",5,0.4,0.8,0.083,Georgios Bartzokas
